13,5a8ca84c7d4d9b055f05c55b1f707f223979d387
5f,53a0acfad59379b3e050338bf9f23cfc172ee787
20,b858cb282617fb0956d960215c8e84d1ccf909c6
a4,f5efcd994fca895f644b0ccc362aba5d6f4ae0c6
2d,3bc15c8aae3e4124dd409035f32ea2fd6835efc9
3a,05a79f06cf3f67f726dae68d18a2290f6c9a50c9
44,50c9e8d5fc98727b4bbc93cf5d64a68db647f04f
b0,f11d1c80a3eeec16ed6079a52005d446886c3a4f
44,50c9e8d5fc98727b4bbc93cf5d64a68db647f04f
df,3fa5bfd93317ad25772680071d5ac3259cd2384f
44,50c9e8d5fc98727b4bbc93cf5d64a68db647f04f
e0,c2204edbfb1b72c9e996a5e6464f6ab0198c494f
a9,19da91f2603889267dfd77786e07a5b8f067d62a
d6,6a2ffa3567b0d286348f4e6942d3e8e62d820d2a
